,State,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,14.12,12.527272727272726,12.67272727272727,13.281818181818185,12.4,12.900000000000004,12.245454545454544,11.109090909090908,15.155555555555553,16.826966049382715
1,SC,22.17757575757576,23.1939393939394,23.593939393939394,24.28181818181818,24.53030303030303,22.88787878787879,22.284848484848485,21.79696969696969,23.94060606060605,22.88484848484849,20.68407407407408,22.88787878787879,22.51212121212121,22.7939393939394,22.02897727272727,22.740404040404037,22.526818181818186,22.15568181818181,19.73886363636364,19.132575757575754,17.907215007215004,17.5219696969697,18.122077922077924,19.3325,19.42348484848485,18.806565656565656,19.68703703703704,20.032804232804235,20.587045454545454,20.643030303030304,21.396545454545453,19.191037357704026,19.631742424242425,20.118340548340548,20.561430174763508,20.433063973063973,19.81498316498316,21.364772727272726,22.25153535353536,17.501875
2,IA,17.08181818181818,17.709090909090904,16.37272727272727,18.672727272727272,18.27272727272728,20.5,22.82,20.154545454545453,18.954545454545453,18.745454545454546,19.872727272727282,14.84545454545455,16.963636363636365,16.800000000000004,14.320000000000002,16.927272727272726,18.77272727272728,17.400000000000002,17.5,16.581818181818186,16.563636363636366,17.245454545454546,16.900000000000002,16.827272727272728,15.8,16.027272727272727,13.29090909090909,14.28181818181818,14.872727272727273,15.52727272727273,16.82,15.690909090909093,14.618181818181819,17.479999999999997,19.972727272727283,21.33636363636364,17.200000000000006,5.166666666666667,17.015037088868983,16.826966049382715
3,NE,12.865151515151515,14.115151515151515,12.877329545454547,13.102954545454544,8.823131313131313,20.28818181818182,18.075000000000006,24.86,23.96666666666667,24.225,17.8,23.025,24.175,24.500000000000004,25.86666666666667,22.33333333333333,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,25.33333333333333,21.24,18.42,22.3,21.93333333333333,23.62,-3.0,12.01818181818182,13.409090909090908,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
4,KY,17.90169580419581,17.684388111888108,17.287964257964262,17.197348484848487,18.83604224058769,18.446466942148767,16.048265993265993,16.91007215007215,19.282680976430978,17.945147907647904,17.010956316410862,15.504834710743802,16.301600091827368,16.84487603305785,16.636758494031223,16.240213498622587,18.161011904761907,17.309116161616164,15.876502525252528,17.687841109507772,16.955093795093788,17.96210028860029,17.2719329004329,18.519461279461282,19.40115182436611,19.496161616161626,16.206536796536795,17.328888888888887,16.786931818181817,16.856363636363636,19.295454545454547,16.84915824915825,16.370541125541127,17.439212121212126,17.70521212121212,18.973454545454548,17.939583333333328,18.179292929292934,18.56636363636364,19.547619047619047
5,MO,18.17253444797046,21.57272727272728,23.655555555555548,18.806869023326094,24.06,23.21818181818182,21.4,19.645454545454548,22.05454545454545,22.70909090909091,22.17272727272728,17.87272727272727,20.404987373737377,22.901857864357858,22.59491341991342,21.80326118326118,22.6347138047138,21.672547699214366,22.18404040404041,20.59982683982684,21.89202226345084,21.62,20.92164502164502,21.843030303030304,21.409772727272728,20.39363636363636,20.11767676767677,19.154545454545453,22.31418181818181,19.495454545454546,20.62727272727273,19.263636363636362,18.672727272727272,20.30909090909091,22.71818181818181,23.43636363636364,20.236363636363638,19.1,19.118181818181817,21.571428571428577
6,WI,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,18.079422571645132,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
7,GA,23.83787878787879,22.499242424242425,23.41212121212121,23.766666666666666,24.609090909090906,22.95397727272727,22.79494949494949,22.318282828282832,24.02727272727273,23.09772727272727,22.25636363636364,22.765252525252524,22.81838383838384,23.31212121212121,22.109764309764312,18.45872727272727,24.5628345959596,24.314886363636365,25.20885281385281,24.11717171717172,23.82212121212121,22.86090909090909,23.176969696969696,23.362987012987013,24.655,24.183838383838385,24.39125,24.47272727272728,23.73,26.4,26.08,25.35,24.37,25.218181818181826,23.45555555555556,23.74444444444445,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
8,SD,9.645454545454543,11.536363636363635,11.354545454545455,9.8,10.545454545454547,14.944444444444445,7.325,19.116666666666667,13.225,6.1000000000000005,6.660000000000001,2.316666666666667,17.5,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,15.566666666666668,11.3,4.8,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
9,WV,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,18.166666666666668,16.972727272727273,14.294949494949494,17.55757575757576,16.403636363636362,17.44363636363636,17.157575757575756,16.83636363636364,17.130303030303033,16.960606060606054,17.14242424242424,17.739393939393942,16.91515151515151,17.008658008658006,16.836363636363632,17.632034632034628,17.09090909090909,15.30909090909091,14.854545454545455,16.045454545454547,16.79090909090909,16.227272727272727,16.242857142857144,16.999999999999996,15.936363636363636,16.057142857142857
10,AL,17.94987878787879,18.98763636363636,19.908020202020204,19.99563636363636,19.65397727272727,24.75454545454545,24.45767045454545,25.648636363636363,26.831737373737372,25.284000000000002,24.71666666666667,25.18547474747475,22.58439393939393,24.7939393939394,23.463299663299665,23.72345454545455,25.003595959595962,25.06018181818182,25.192929292929286,21.93409090909091,24.181616161616173,23.741818181818186,23.483838383838386,23.67818181818182,24.187434343434344,25.160242424242426,21.869818181818186,23.93027272727273,25.554727272727273,26.99381818181817,26.66,24.980732323232328,21.258922558922556,25.18181818181818,26.889898989898988,25.56590909090909,21.41818181818182,29.518181818181816,29.1,28.5
11,NY,13.755303030303027,13.693181818181815,12.96818181818182,13.188636363636364,12.51590909090909,12.584090909090907,12.479318181818185,12.224898989898989,12.670454545454545,13.977029220779224,11.775757575757575,12.393939393939394,11.766666666666667,12.088888888888887,12.514646464646466,13.041414141414142,13.13030303030303,12.839393939393942,11.687878787878788,14.231565656565655,12.746590909090907,11.725,10.646818181818183,14.39090909090909,13.738636363636365,13.981818181818182,13.958181818181815,14.134848484848485,19.466666666666665,7.525,18.079422571645132,16.32324121834471,16.62958768174821,12.966666666666667,20.6,14.716666666666667,9.7,16.10869666713215,17.015037088868983,16.826966049382715
12,RI,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,18.079422571645132,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
13,MT,14.087878787878791,15.077575757575758,17.62188552188552,14.839393939393938,16.972727272727273,16.257575757575758,16.443771043771044,14.611515151515155,15.58151515151515,14.829696969696968,15.89939393939394,21.317171717171718,12.7,7.522222222222222,7.8000000000000025,9.56,10.5,10.6,11.118181818181819,12.18,8.922222222222222,11.445454545454547,10.881818181818183,5.857142857142856,10.71818181818182,11.669999999999998,8.64,9.963636363636363,9.857142857142858,-1.1333333333333333,12.71818181818182,11.96,9.77,12.163636363636362,10.74,11.590909090909092,10.972727272727273,9.581818181818182,11.063636363636363,12.85
14,IL,18.17253444797046,17.3,20.166666666666668,14.25,12.2,19.918181818181807,18.85,19.69,19.736363636363638,19.654545454545453,18.44545454545455,18.409090909090907,17.969999999999995,19.20833333333333,18.03363636363636,14.22181818181818,17.719717171717175,15.1866391184573,15.107407407407406,17.323722943722938,17.228295454545453,16.68409090909091,16.386477272727273,18.32532467532468,17.43220779220779,18.37922077922078,15.396363636363635,13.392386363636366,15.180795454545455,15.918954545454545,19.259415584415585,15.713766233766234,15.382943722943725,15.406753246753244,16.634285714285713,17.102453102453104,15.9137012987013,13.997067099567099,14.578181818181822,18.75
15,MA,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,11.725,13.754545454545456,14.25,14.74,12.818181818181818,13.677777777777779,14.033333333333335,14.28,12.500000000000002,14.937499999999998,12.47272727272727,14.02222222222222,14.925
16,FL,27.97532467532468,27.738961038961037,27.50969696969697,27.73575757575757,28.089562289562288,26.838131313131317,27.277777777777786,26.700863997113995,26.649242424242424,25.32233766233767,24.645491651205937,24.55117424242424,26.269318181818186,25.126936026936026,26.57227272727273,27.039716610549945,27.95619769119769,26.71238636363636,27.058603896103893,27.295015151515152,28.382181818181824,28.440202020202022,28.158614718614718,27.922337662337657,26.23333333333333,26.145454545454545,25.43939393939393,26.145454545454548,24.61818181818182,26.06363636363637,26.14545454545453,25.63636363636364,25.736363636363638,26.82727272727273,27.07272727272727,26.45454545454545,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
17,TN,19.93363636363636,20.020454545454548,21.24232954545455,21.794512987012983,22.499675324675326,21.728257575757574,22.41238961038961,18.367555555555555,21.564545454545456,21.991454545454545,20.947727272727274,21.639646464646464,21.644090909090906,22.639590909090906,20.27436363636364,21.4002861952862,21.62963636363637,21.730828282828284,20.755636363636363,21.75618181818182,21.183818181818182,20.792765151515148,21.06818181818182,21.165454545454548,20.97878787878788,22.35636363636364,21.37212121212121,20.796632996633,22.08073593073593,21.93261183261184,22.82379509379509,20.90376623376623,20.547204184704192,21.925584415584417,23.270476190476195,21.749639249639245,20.370454545454546,22.369090909090904,21.479545454545455,23.034523809523808
18,NH,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,6.7666666666666675,13.254545454545452,14.2,13.427272727272726,12.900000000000004,13.109090909090913,14.118181818181816,13.400000000000004,13.318181818181818,12.9,13.9,13.883333333333333
19,ME,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,11.681818181818182,12.454545454545455,11.28181818181818,11.872727272727273,12.118181818181816,13.84090909090909,12.626060606060605,12.463636363636365,11.868181818181816,12.969696969696967,12.080909090909092,12.181818181818182,11.636363636363635,12.259545454545455,11.022727272727273,12.059090909090907,11.374999999999998
20,KS,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,18.079422571645132,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,13.8,17.015037088868983,16.826966049382715
21,OK,20.925568181818182,21.36818181818182,21.723510101010103,20.854545454545452,21.54772727272728,21.89318181818182,22.24772727272727,20.66136363636364,20.897727272727273,21.520934343434345,21.73681818181818,21.6,22.62454545454545,22.052878787878786,20.53409090909091,20.913636363636364,23.63545454545455,22.65227272727273,21.54383116883117,21.211931818181817,20.43878787878788,21.624545454545455,20.63636363636364,21.631818181818186,22.62272727272727,20.543636363636363,21.44545454545454,20.519694594023864,22.203010222709022,23.149686318972034,23.968628356738115,21.517545383286127,21.5279776156628,22.324797979797978,23.56908654445692,23.229727655746174,22.538337121212123,21.85174558080808,22.52680176767677,22.929541666666665
22,LA,25.384454545454545,24.079090909090908,24.73454545454545,24.92838383838384,25.307777777777787,25.46363636363637,25.07727272727273,24.509,26.51127272727273,25.21311688311688,25.26636363636364,24.955454545454543,25.161818181818184,25.64306818181819,25.442898989898982,25.279000000000003,27.020494949494942,26.329636363636364,25.817636363636364,25.39436363636364,24.097474747474752,24.65868686868687,24.706649350649357,25.59469696969697,25.08113636363636,24.36936095650381,25.34684659090909,24.332348484848485,22.721558441558447,24.71279461279461,23.757038961038962,23.795015151515152,22.353863636363634,24.378545454545456,25.342323232323235,25.18545454545455,21.602020202020203,23.54545454545454,23.2,23.014285714285712
23,AZ,18.17253444797046,18.751280158060325,19.136666861288983,18.806869023326094,19.067341626445074,19.747601389196735,19.25583099646638,19.16810546884228,19.848657372224512,19.00680057968851,18.467686102812614,18.209970528862375,19.03259259688724,19.472459047862227,17.91619626090517,17.915817707984118,19.180507143418147,18.683129237057596,18.455075019488813,18.459196192908838,18.321385659906596,18.30927413521692,17.802498121599417,18.183106910304858,18.76196080864182,19.340360817357247,17.984985413751513,17.89335385580271,16.952058238535336,17.267636368216724,18.079422571645132,16.32324121834471,16.62958768174821,17.386327582045983,18.07381016409557,17.881233850719266,16.43793095388408,16.10869666713215,17.015037088868983,16.826966049382715
